open_time,open,high,low,close,volume,close_time,quote_volume,trades
2026-04-03T10:00:00+00:00,66859.58,66898.97,66674.72,66883.08,215.33139,2026-04-03T10:59:59.999000+00:00,14386863.8408494,75036
2026-04-03T11:00:00+00:00,66883.09,67057.42,66823.18,67017.44,215.91455,2026-04-03T11:59:59.999000+00:00,14454508.9743867,76742
2026-04-03T12:00:00+00:00,67017.43,67370.42,66646.36,66722.16,808.01051,2026-04-03T12:59:59.999000+00:00,54115822.8876222,157562
2026-04-03T13:00:00+00:00,66722.16,66735.62,66508.1,66672.0,554.93399,2026-04-03T13:59:59.999000+00:00,36981654.8806926,127436
2026-04-03T14:00:00+00:00,66671.99,66990.59,66634.0,66929.81,530.03077,2026-04-03T14:59:59.999000+00:00,35422476.1435293,103850
2026-04-03T15:00:00+00:00,66929.8,67028.37,66823.3,66827.15,465.79672,2026-04-03T15:59:59.999000+00:00,31158451.4968507,78884
2026-04-03T16:00:00+00:00,66827.15,67069.0,66827.14,67010.46,361.0645,2026-04-03T16:59:59.999000+00:00,24175580.0670441,67747
2026-04-03T17:00:00+00:00,67010.45,67067.0,66751.86,66855.01,378.12395,2026-04-03T17:59:59.999000+00:00,25298850.9090256,64720
2026-04-03T18:00:00+00:00,66855.0,66930.0,66786.12,66812.03,187.13591,2026-04-03T18:59:59.999000+00:00,12512991.277074,41096
2026-04-03T19:00:00+00:00,66812.04,66911.19,66774.02,66885.74,289.39585,2026-04-03T19:59:59.999000+00:00,19332643.9131965,37983
2026-04-03T20:00:00+00:00,66885.73,66919.61,66831.97,66831.98,141.97965,2026-04-03T20:59:59.999000+00:00,9496075.2973281,30452
2026-04-03T21:00:00+00:00,66831.97,66970.18,66827.6,66964.21,378.17654,2026-04-03T21:59:59.999000+00:00,25300686.3529888,35905
2026-04-03T22:00:00+00:00,66964.21,66970.17,66842.76,66888.76,287.42422,2026-04-03T22:59:59.999000+00:00,19230971.6456241,50198
2026-04-03T23:00:00+00:00,66888.76,66964.3,66826.13,66964.3,525.44687,2026-04-03T23:59:59.999000+00:00,35145171.6404963,41718
2026-04-04T00:00:00+00:00,66964.29,66968.28,66876.7,66893.39,159.1028,2026-04-04T00:59:59.999000+00:00,10646456.7809157,48299
2026-04-04T01:00:00+00:00,66893.4,66924.48,66827.22,66852.0,418.46364,2026-04-04T01:59:59.999000+00:00,27979725.7998668,50208
2026-04-04T02:00:00+00:00,66852.0,66919.41,66814.0,66844.83,138.81793,2026-04-04T02:59:59.999000+00:00,9278751.0044934,43550
2026-04-04T03:00:00+00:00,66844.84,66910.22,66830.23,66832.18,86.81929,2026-04-04T03:59:59.999000+00:00,5804843.5622113,41431
2026-04-04T04:00:00+00:00,66832.18,66876.32,66775.91,66860.73,180.50471,2026-04-04T04:59:59.999000+00:00,12065954.1423571,45240
2026-04-04T05:00:00+00:00,66860.73,66936.72,66844.14,66916.29,629.01422,2026-04-04T05:59:59.999000+00:00,42073019.1494836,61330
