open_time,open,high,low,close,volume,close_time,quote_volume,trades
2026-04-24T06:00:00+00:00,85.7,85.73,85.33,85.44,43334.762,2026-04-24T06:59:59.999000+00:00,3706569.26862,12939
2026-04-24T07:00:00+00:00,85.44,85.62,85.34,85.51,88411.579,2026-04-24T07:59:59.999000+00:00,7554381.33344,18476
2026-04-24T08:00:00+00:00,85.5,85.73,85.29,85.34,84858.035,2026-04-24T08:59:59.999000+00:00,7251772.04523,17083
2026-04-24T09:00:00+00:00,85.35,85.48,84.92,85.48,91687.327,2026-04-24T09:59:59.999000+00:00,7807441.01057,20841
2026-04-24T10:00:00+00:00,85.47,85.76,85.18,85.71,71177.265,2026-04-24T10:59:59.999000+00:00,6086239.07975,18789
2026-04-24T11:00:00+00:00,85.72,86.28,85.71,86.19,153894.168,2026-04-24T11:59:59.999000+00:00,13244753.85369,37651
2026-04-24T12:00:00+00:00,86.2,86.79,86.06,86.33,163867.002,2026-04-24T12:59:59.999000+00:00,14165584.66555,39535
2026-04-24T13:00:00+00:00,86.34,86.6,85.86,86.09,109644.856,2026-04-24T13:59:59.999000+00:00,9455087.46487,38547
2026-04-24T14:00:00+00:00,86.08,86.23,85.67,86.05,89286.631,2026-04-24T14:59:59.999000+00:00,7674826.96693,39910
2026-04-24T15:00:00+00:00,86.05,86.56,85.53,86.52,106778.777,2026-04-24T15:59:59.999000+00:00,9190686.34646,36558
2026-04-24T16:00:00+00:00,86.52,86.58,86.09,86.35,74474.282,2026-04-24T16:59:59.999000+00:00,6427691.49372,28903
2026-04-24T17:00:00+00:00,86.34,86.56,86.12,86.49,55769.856,2026-04-24T17:59:59.999000+00:00,4818636.87089,21709
2026-04-24T18:00:00+00:00,86.49,86.54,85.95,86.36,36132.27,2026-04-24T18:59:59.999000+00:00,3117721.42277,17449
2026-04-24T19:00:00+00:00,86.37,86.53,86.25,86.33,43896.721,2026-04-24T19:59:59.999000+00:00,3789613.49955,15743
2026-04-24T20:00:00+00:00,86.32,86.9,86.22,86.85,104016.015,2026-04-24T20:59:59.999000+00:00,9005934.8479,23248
2026-04-24T21:00:00+00:00,86.85,86.94,86.36,86.46,54955.947,2026-04-24T21:59:59.999000+00:00,4760564.88892,17856
2026-04-24T22:00:00+00:00,86.45,86.46,86.1,86.17,43500.124,2026-04-24T22:59:59.999000+00:00,3753581.50081,14664
2026-04-24T23:00:00+00:00,86.18,86.3,86.15,86.18,22605.713,2026-04-24T23:59:59.999000+00:00,1948817.62417,8054
2026-04-25T00:00:00+00:00,86.18,86.26,86.03,86.23,28986.536,2026-04-25T00:59:59.999000+00:00,2496891.303,7662
2026-04-25T01:00:00+00:00,86.23,86.36,86.13,86.27,24186.905,2026-04-25T01:59:59.999000+00:00,2085863.50288,7122
2026-04-25T02:00:00+00:00,86.28,86.4,86.16,86.29,22169.588,2026-04-25T02:59:59.999000+00:00,1912625.25867,6693
2026-04-25T03:00:00+00:00,86.28,86.5,86.27,86.46,21495.799,2026-04-25T03:59:59.999000+00:00,1857206.51261,6416
2026-04-25T04:00:00+00:00,86.46,86.51,86.29,86.34,20095.541,2026-04-25T04:59:59.999000+00:00,1736111.35666,7328
2026-04-25T05:00:00+00:00,86.34,86.34,86.11,86.2,38638.35,2026-04-25T05:59:59.999000+00:00,3329799.43105,13688
2026-04-25T06:00:00+00:00,86.2,86.66,86.19,86.45,42154.635,2026-04-25T06:59:59.999000+00:00,3642590.61099,12088
2026-04-25T07:00:00+00:00,86.45,86.51,86.25,86.36,58814.025,2026-04-25T07:59:59.999000+00:00,5079766.18029,11574
2026-04-25T08:00:00+00:00,86.36,86.8,86.3,86.63,74414.269,2026-04-25T08:59:59.999000+00:00,6443537.86496,19486
2026-04-25T09:00:00+00:00,86.62,86.8,86.57,86.58,35097.574,2026-04-25T09:59:59.999000+00:00,3041728.16836,13176
2026-04-25T10:00:00+00:00,86.58,86.73,86.57,86.63,23513.249,2026-04-25T10:59:59.999000+00:00,2037209.17728,8051
2026-04-25T11:00:00+00:00,86.63,86.64,86.25,86.36,47570.775,2026-04-25T11:59:59.999000+00:00,4110518.26635,16813
2026-04-25T12:00:00+00:00,86.36,86.43,86.23,86.39,35887.945,2026-04-25T12:59:59.999000+00:00,3098975.29054,13403
2026-04-25T13:00:00+00:00,86.39,86.67,86.38,86.61,33820.926,2026-04-25T13:59:59.999000+00:00,2928306.52365,10917
2026-04-25T14:00:00+00:00,86.61,86.66,86.46,86.47,30516.351,2026-04-25T14:59:59.999000+00:00,2642417.70722,13564
2026-04-25T15:00:00+00:00,86.46,86.64,86.1,86.22,34293.686,2026-04-25T15:59:59.999000+00:00,2962738.97316,12258
2026-04-25T16:00:00+00:00,86.22,86.33,85.61,85.88,90095.578,2026-04-25T16:59:59.999000+00:00,7746193.88171,23150
2026-04-25T17:00:00+00:00,85.88,85.88,85.55,85.57,65893.504,2026-04-25T17:59:59.999000+00:00,5648413.65238,17465
2026-04-25T18:00:00+00:00,85.56,85.82,85.53,85.7,132658.504,2026-04-25T18:59:59.999000+00:00,11369201.29923,17578
2026-04-25T19:00:00+00:00,85.69,85.72,85.55,85.68,47083.529,2026-04-25T19:59:59.999000+00:00,4031967.19438,10162
2026-04-25T20:00:00+00:00,85.68,85.92,85.61,85.9,19049.104,2026-04-25T20:59:59.999000+00:00,1634509.47241,8446
2026-04-25T21:00:00+00:00,85.9,86.11,85.74,85.91,60195.901,2026-04-25T21:59:59.999000+00:00,5174975.92468,21859
2026-04-25T22:00:00+00:00,85.91,86.18,85.86,86.11,26636.799,2026-04-25T22:59:59.999000+00:00,2292795.01289,14438
2026-04-25T23:00:00+00:00,86.11,86.2,86.04,86.18,20663.363,2026-04-25T23:59:59.999000+00:00,1779408.55732,6738
2026-04-26T00:00:00+00:00,86.19,86.22,85.93,86.03,21382.919,2026-04-26T00:59:59.999000+00:00,1840925.26879,7741
2026-04-26T01:00:00+00:00,86.03,86.13,85.97,85.97,20257.17,2026-04-26T01:59:59.999000+00:00,1742788.85512,6795
2026-04-26T02:00:00+00:00,85.97,86.4,85.97,86.4,41425.667,2026-04-26T02:59:59.999000+00:00,3573357.86774,9524
2026-04-26T03:00:00+00:00,86.4,86.46,85.84,85.99,79527.902,2026-04-26T03:59:59.999000+00:00,6847567.68909,14664
2026-04-26T04:00:00+00:00,85.99,86.73,85.92,86.45,94667.561,2026-04-26T04:59:59.999000+00:00,8179598.1446,24504
2026-04-26T05:00:00+00:00,86.44,86.7,86.15,86.45,142921.579,2026-04-26T05:59:59.999000+00:00,12361401.53205,25852
2026-04-26T06:00:00+00:00,86.44,86.59,86.38,86.5,22622.752,2026-04-26T06:59:59.999000+00:00,1956430.65982,8459
2026-04-26T07:00:00+00:00,86.5,86.63,86.44,86.62,22892.858,2026-04-26T07:59:59.999000+00:00,1980452.00399,6185
2026-04-26T08:00:00+00:00,86.63,86.76,86.51,86.57,37931.668,2026-04-26T08:59:59.999000+00:00,3286192.06248,12126
2026-04-26T09:00:00+00:00,86.57,86.59,86.46,86.55,21834.957,2026-04-26T09:59:59.999000+00:00,1889159.58605,7632
2026-04-26T10:00:00+00:00,86.54,86.61,86.42,86.48,33217.87,2026-04-26T10:59:59.999000+00:00,2873565.13596,8275
2026-04-26T11:00:00+00:00,86.47,86.64,86.46,86.48,29754.692,2026-04-26T11:59:59.999000+00:00,2574323.62653,10575
2026-04-26T12:00:00+00:00,86.49,86.49,85.9,86.09,109065.477,2026-04-26T12:59:59.999000+00:00,9397422.42501,22454
2026-04-26T13:00:00+00:00,86.09,86.27,85.97,86.12,97003.615,2026-04-26T13:59:59.999000+00:00,8352111.16108,19918
2026-04-26T14:00:00+00:00,86.12,86.5,86.06,86.42,59997.046,2026-04-26T14:59:59.999000+00:00,5183370.09587,17663
