open_time,open,high,low,close,volume,close_time,quote_volume,trades
2026-01-10T04:00:00+00:00,907.31,910.22,903.05,905.37,19150.01,2026-01-10T07:59:59.999000+00:00,17369685.77145,120086
2026-01-10T08:00:00+00:00,905.38,906.43,898.98,900.47,19272.135,2026-01-10T11:59:59.999000+00:00,17386437.74965,124612
2026-01-10T12:00:00+00:00,900.47,910.82,899.13,908.78,22202.25,2026-01-10T15:59:59.999000+00:00,20085273.37992,112256
2026-01-10T16:00:00+00:00,908.79,915.86,906.89,913.93,25640.876,2026-01-10T19:59:59.999000+00:00,23343908.44449,129235
2026-01-10T20:00:00+00:00,913.94,915.91,902.23,907.93,18078.314,2026-01-10T23:59:59.999000+00:00,16409419.41429,115773
2026-01-11T00:00:00+00:00,907.93,914.11,904.3,913.2,13812.914,2026-01-11T03:59:59.999000+00:00,12554010.07825,91639
2026-01-11T04:00:00+00:00,913.21,916.3,910.69,913.55,17935.729,2026-01-11T07:59:59.999000+00:00,16377011.69392,101615
2026-01-11T08:00:00+00:00,913.55,917.33,911.62,912.05,15847.022,2026-01-11T11:59:59.999000+00:00,14485686.38606,72030
2026-01-11T12:00:00+00:00,912.06,915.38,906.29,908.64,24216.71,2026-01-11T15:59:59.999000+00:00,22068682.2321,115462
2026-01-11T16:00:00+00:00,908.64,911.17,903.5,904.45,14826.627,2026-01-11T19:59:59.999000+00:00,13458777.58515,82716
2026-01-11T20:00:00+00:00,904.45,905.31,898.75,904.32,11982.079,2026-01-11T23:59:59.999000+00:00,10811527.37775,88356
2026-01-12T00:00:00+00:00,904.32,910.81,896.85,905.27,29339.481,2026-01-12T03:59:59.999000+00:00,26577162.36006,175710
2026-01-12T04:00:00+00:00,905.28,910.21,903.97,904.81,16449.507,2026-01-12T07:59:59.999000+00:00,14927839.87453,87728
2026-01-12T08:00:00+00:00,904.82,908.3,898.26,901.28,18144.889,2026-01-12T11:59:59.999000+00:00,16373476.74984,123374
2026-01-12T12:00:00+00:00,901.27,905.22,894.0,904.28,21588.505,2026-01-12T15:59:59.999000+00:00,19433970.50886,154936
2026-01-12T16:00:00+00:00,904.28,909.11,900.0,907.79,13374.901,2026-01-12T19:59:59.999000+00:00,12115071.59771,119531
2026-01-12T20:00:00+00:00,907.78,908.31,901.22,905.78,9624.89,2026-01-12T23:59:59.999000+00:00,8713004.92459,67843
2026-01-13T00:00:00+00:00,905.79,907.86,902.25,906.36,15128.291,2026-01-13T03:59:59.999000+00:00,13689651.74742,82557
2026-01-13T04:00:00+00:00,906.36,914.98,906.35,910.05,31542.253,2026-01-13T07:59:59.999000+00:00,28739553.79538,124623
2026-01-13T08:00:00+00:00,910.05,912.2,907.52,907.68,94132.528,2026-01-13T11:59:59.999000+00:00,85644249.8441,254662
2026-01-13T12:00:00+00:00,907.69,916.6,906.18,916.47,36012.131,2026-01-13T15:59:59.999000+00:00,32815858.57967,157506
2026-01-13T16:00:00+00:00,916.47,945.55,916.38,941.5,78320.053,2026-01-13T19:59:59.999000+00:00,72909782.3235,319505
2026-01-13T20:00:00+00:00,941.5,952.96,940.0,943.73,56779.741,2026-01-13T23:59:59.999000+00:00,53738565.20453,243598
2026-01-14T00:00:00+00:00,943.73,954.68,943.64,950.13,39897.992,2026-01-14T03:59:59.999000+00:00,37862955.16398,166989
2026-01-14T04:00:00+00:00,950.14,952.2,934.67,937.45,33053.637,2026-01-14T07:59:59.999000+00:00,31121466.30502,173273
